id,x,y,z,yaw,pitch,roll
87,-297.543,237.173,-12.8097,2.45359,0.000538705,0.0451853
88,-297.689,237.303,-12.8033,2.45421,-0.000696396,0.0448284
89,-297.823,237.419,-12.8091,2.45518,-0.00105106,0.0453077
90,-297.968,237.545,-12.8084,2.455,-0.00152232,0.0454126
91,-298.116,237.671,-12.8119,2.45485,-0.00217418,0.0445949
92,-298.258,237.799,-12.8174,2.45544,-0.00240146,0.0441588
93,-298.399,237.922,-12.8206,2.45613,-0.00252822,0.0434403
94,-298.552,238.049,-12.8204,2.4559,-0.00277026,0.0422975
95,-298.689,238.176,-12.8217,2.45555,-0.00356985,0.0411524
96,-298.837,238.306,-12.8175,2.45597,-0.00512486,0.0398316
97,-298.988,238.438,-12.8174,2.45628,-0.00677246,0.0390921
98,-299.145,238.568,-12.8198,2.45695,-0.0084757,0.0382358
99,-299.29,238.696,-12.8274,2.45801,-0.00882684,0.0372367
100,-299.428,238.814,-12.8361,2.45822,-0.0076886,0.0361437
101,-299.579,238.95,-12.8437,2.45874,-0.00665081,0.035451
102,-299.735,239.08,-12.8492,2.45914,-0.00588371,0.0377278
103,-299.887,239.199,-12.8428,2.45936,-0.00505386,0.0394241
104,-300.034,239.327,-12.8321,2.45993,-0.00521482,0.0383293
105,-300.185,239.459,-12.8361,2.46046,-0.00569234,0.0365761
106,-300.337,239.597,-12.8448,2.46111,-0.00516766,0.0344094
107,-300.486,239.727,-12.8473,2.46156,-0.00444303,0.0330597
108,-300.64,239.854,-12.8495,2.46231,-0.00385724,0.0321183
109,-300.795,239.98,-12.8515,2.46321,-0.00383984,0.0309097
110,-300.949,240.111,-12.8555,2.46365,-0.00415068,0.0302604
111,-301.103,240.245,-12.8557,2.46382,-0.00440006,0.0296727
112,-301.257,240.375,-12.8556,2.46362,-0.0041636,0.0287096
113,-301.412,240.508,-12.8565,2.4637,-0.0028517,0.0263837
114,-301.589,240.658,-12.8521,2.46635,-0.0026747,0.0230969
115,-301.737,240.776,-12.8507,2.4687,-0.0046233,0.0219138
116,-301.9,240.915,-12.8429,2.47056,-0.00571508,0.0194031
117,-302.07,241.037,-12.8543,2.47342,-0.00615803,0.0177822
118,-302.229,241.17,-12.855,2.47531,-0.00601442,0.0183709
119,-302.391,241.294,-12.8588,2.47813,-0.00534986,0.0175868
120,-302.56,241.418,-12.863,2.48052,-0.00501407,0.0172807
121,-302.726,241.546,-12.8613,2.48237,-0.00467433,0.017316
122,-302.894,241.677,-12.8614,2.4846,-0.00489231,0.0170555
123,-303.071,241.814,-12.8633,2.48715,-0.00497291,0.0164584
124,-303.235,241.937,-12.8643,2.49022,-0.00470479,0.0155791
125,-303.404,242.06,-12.8642,2.49331,-0.00492097,0.0147387
126,-303.575,242.177,-12.8637,2.49643,-0.0050616,0.0137992
127,-303.748,242.301,-12.8674,2.4996,-0.00495706,0.0131333
128,-303.93,242.432,-12.8664,2.50366,-0.0046224,0.0123434
129,-304.106,242.557,-12.8661,2.50904,-0.0042447,0.0111802
130,-304.27,242.671,-12.8673,2.51369,-0.00405233,0.0109132
131,-304.447,242.783,-12.8724,2.51839,-0.00444255,0.0119694
132,-304.638,242.898,-12.8646,2.52453,-0.0064231,0.0145148
133,-304.829,243.009,-12.8571,2.53209,-0.00863685,0.0162072
134,-305.016,243.114,-12.8531,2.54176,-0.0101646,0.0151892
135,-305.207,243.21,-12.8493,2.55199,-0.0111857,0.0114609
136,-305.398,243.31,-12.8578,2.56331,-0.0119252,0.00786028
137,-305.588,243.4,-12.8637,2.57441,-0.0116782,0.00680727
138,-305.789,243.487,-12.8666,2.58632,-0.0118554,0.00719613
139,-305.986,243.57,-12.8675,2.59828,-0.0117713,0.00702707
140,-306.183,243.645,-12.8665,2.61043,-0.0118157,0.00689805
141,-306.386,243.719,-12.8676,2.62362,-0.0125507,0.00676836
142,-306.593,243.79,-12.8636,2.63647,-0.012914,0.0062263
143,-306.794,243.868,-12.86,2.65045,-0.0126683,0.00385732
144,-306.993,243.935,-12.8696,2.66595,-0.0135851,0.0015962
145,-307.2,243.991,-12.8682,2.6808,-0.0139231,0.00317877
146,-307.413,244.045,-12.8684,2.69552,-0.0133001,0.00463618
147,-307.624,244.091,-12.8744,2.71143,-0.013212,0.00601059
148,-307.848,244.138,-12.873,2.72896,-0.0133487,0.00750965
149,-308.066,244.178,-12.8642,2.74665,-0.0123997,0.00729168
150,-308.284,244.217,-12.8614,2.76622,-0.0113519,0.00570804
151,-308.507,244.245,-12.8684,2.7869,-0.0108464,0.00444108
152,-308.728,244.266,-12.8668,2.80776,-0.0107242,0.0029213
153,-308.957,244.276,-12.8707,2.82926,-0.0105998,0.00203684
154,-309.186,244.289,-12.8753,2.85191,-0.0103272,0.00243035
155,-309.425,244.278,-12.8766,2.87571,-0.00958017,0.00329547
156,-309.654,244.27,-12.8772,2.89899,-0.00834269,0.00257271
157,-309.885,244.264,-12.8719,2.92253,-0.00690117,0.000843492
158,-310.115,244.235,-12.8769,2.94672,-0.00641021,-0.00059801
159,-310.346,244.198,-12.8782,2.9718,-0.0059774,-0.00113263
160,-310.581,244.163,-12.8777,2.99706,-0.00573696,-0.00112337
161,-310.805,244.114,-12.8834,3.02237,-0.00524897,-0.00035402
162,-311.038,244.068,-12.8846,3.04717,-0.00516389,0.000744979
163,-311.274,244.01,-12.8858,3.07256,-0.00481195,0.00205733
164,-311.508,243.952,-12.8864,3.09845,-0.00495808,0.00323194
165,-311.746,243.882,-12.8826,3.12464,-0.00531898,0.00355196
166,-311.977,243.807,-12.8903,-3.13187,-0.00481859,0.00412022
167,-312.218,243.718,-12.8948,-3.10478,-0.00323629,0.00433615
168,-312.448,243.628,-12.9009,-3.07785,-0.00234632,0.00423352
169,-312.675,243.535,-12.897,-3.05107,-0.00286444,0.00447144
170,-312.914,243.429,-12.9022,-3.02289,-0.00319805,0.00523491
171,-313.151,243.317,-12.9086,-2.99484,-0.00311479,0.00641805
172,-313.384,243.197,-12.9174,-2.96646,-0.00210979,0.00781121
173,-313.616,243.071,-12.9164,-2.93815,0.000225693,0.00934294
174,-313.85,242.938,-12.9241,-2.90967,0.00255109,0.00963577
175,-314.086,242.796,-12.9314,-2.8805,0.00259227,0.0107205
176,-314.313,242.641,-12.9365,-2.85172,0.000434496,0.0123891
177,-314.552,242.48,-12.9369,-2.82375,-0.00107453,0.0122191
178,-314.785,242.324,-12.9413,-2.79528,-0.00274759,0.00944933
179,-315.036,242.144,-12.9522,-2.76567,-0.00466222,0.00961518
180,-315.283,241.946,-12.9611,-2.73676,-0.00390982,0.0129367
181,-315.536,241.745,-12.9618,-2.7085,-0.00298078,0.0154491
182,-315.779,241.551,-12.9659,-2.68094,-0.00152053,0.0163065
183,-316.025,241.333,-12.9646,-2.65406,-0.000424599,0.0160132
184,-316.279,241.121,-12.9572,-2.62756,0.00118985,0.0146285
185,-316.526,240.884,-12.9641,-2.60159,0.00236879,0.0128754
186,-316.77,240.655,-12.9625,-2.57861,0.00360906,0.00993415
187,-317.006,240.433,-12.9673,-2.55733,0.00532198,0.0047493
188,-317.249,240.21,-12.9883,-2.53794,0.00698207,0.00166206
189,-317.491,239.983,-13.0043,-2.51912,0.0069795,0.00282358
190,-317.725,239.744,-13.0029,-2.50185,0.00572332,0.00665697
191,-317.963,239.509,-13.0066,-2.48581,0.0030264,0.00989381
192,-318.197,239.289,-12.9922,-2.4691,0.00114411,0.0109727
193,-318.424,239.038,-12.9959,-2.4516,0.00078465,0.0128481
194,-318.644,238.779,-13.0003,-2.43483,0.00148061,0.0135076
195,-318.871,238.538,-13.0091,-2.41764,0.00108138,0.0125152
196,-319.093,238.292,-13.0264,-2.40108,5.60735e-05,0.0114981
197,-319.321,238.028,-13.0236,-2.38585,-0.00220424,0.0107013
198,-319.55,237.75,-13.0348,-2.37086,-0.00397966,0.0106152
199,-319.784,237.485,-13.0464,-2.35713,-0.00776757,0.0118749
200,-320.026,237.206,-13.0494,-2.34486,-0.0121303,0.0124444
201,-320.268,236.906,-13.0404,-2.33366,-0.0176759,0.0116014
